other,num_reactions,num_comments,num_shares,num_likes,num_loves
84,310,540,41,284,26
85,14,3,0,12,2
86,293,6,1,275,15
87,236,12,0,226,8
88,312,10,0,291,18
89,24,12,0,24,0
90,16,9,0,15,1
91,33,12,0,32,1
92,675,10,0,645,29
93,737,18,0,697,31
94,572,16,0,554,16
95,23,7,0,20,3
96,266,25,0,250,11
97,378,512,30,348,27
98,421,709,30,373,45
99,1493,1979,753,1333,139
100,76,17,0,76,0
101,36,11,0,34,2
102,19,8,0,18,0
103,27,10,0,27,0
104,117,2,53,108,9
105,146,1,0,145,1
106,166,0,13,151,7
107,190,0,31,171,0
108,217,16,0,213,4
109,458,14,0,451,3
110,553,15,0,538,12
111,203,18,11,190,7
112,1005,25,1,979,16
113,202,145,23,182,19
114,428,14,0,419,4
115,479,17,0,462,10
116,212,116,11,201,10
117,225,157,17,211,14
118,171,46,5,156,12
119,247,120,16,232,14
120,269,453,39,242,26
121,258,486,32,235,23
122,109,2,1,104,5
123,97,5,0,96,0
124,280,199,25,254,24
125,325,77,21,293,30
126,51,11,0,51,0
127,280,825,47,243,35
128,688,0,0,632,34
129,365,805,46,320,39
130,295,5,0,295,0
131,27,14,0,26,1
132,15,11,0,15,0
133,16,12,0,16,0
134,29,12,0,29,0
135,28,6,0,28,0
136,8,8,0,8,0
137,10,9,0,10,0
138,39,8,0,39,0
139,49,11,0,47,2
140,226,449,37,189,25
141,104,49,13,91,12
142,251,17,0,244,7
143,244,589,48,213,29
144,252,558,41,204,45
145,121,15,4,114,4
146,321,5,0,307,11
147,103,8,3,99,4
148,136,31,16,122,14
149,337,247,27,300,35
150,648,13,0,627,18
151,175,157,14,157,18
152,339,424,36,296,38
153,341,3,0,331,8
154,177,131,27,150,27
155,201,0,0,195,4
156,43,7,0,41,2
157,40,7,0,39,1
158,58,14,0,57,1
159,403,525,42,363,36
160,148,4,3,144,4
161,150,24,2,144,6
162,53,12,0,53,0
163,144,15,8,140,4
164,298,491,46,262,34
165,171,4,1,166,5
166,4410,633,257,4315,73
167,374,588,46,327,47
168,181,20,0,180,1
169,267,20,1,249,8
170,60,7,0,59,1
171,98,23,5,95,2
172,26,7,0,26,0
173,255,18,0,244,11
174,174,6,1,167,5
175,64,5,1,59,5
176,62,3,0,58,4
177,192,417,40,168,22
178,110,18,6,110,0
179,119,12,7,117,2
180,42,11,0,41,0
181,234,355,34,178,52
182,54,10,0,53,1
183,82,8,0,80,1
184,18,8,0,18,0
185,147,17,7,141,5
186,80,8,0,79,1
187,299,564,42,262,34
188,629,11,1,607,18
189,69,2,0,67,2
190,219,110,17,190,26
191,30,2,0,27,3
192,65,1,0,62,2
193,161,7,0,153,8
194,398,605,30,348,44
195,47,7,0,47,0
196,182,3,4,177,5
197,317,158,32,269,47
198,571,888,107,459,107
199,16,10,0,15,1
200,30,9,0,30,0
201,57,7,0,57,0
202,74,6,3,74,0
203,368,911,50,317,50
204,19,3,0,19,0
205,176,3,0,175,0
206,133,7,0,133,0
207,162,6,2,158,3
208,734,996,73,601,116
209,42,16,9,41,1
210,33,6,3,31,2
211,29,6,1,29,0
212,43,6,0,42,1
213,14,6,0,13,1
214,475,574,48,406,63
215,50,8,2,49,1
216,94,23,6,94,0
217,303,34,3,291,11
218,168,7,1,167,1
219,248,14,0,241,7
220,422,6,0,410,8
221,189,3,0,184,2
222,390,17,2,382,5
223,618,28,0,597,14
224,191,2,2,188,2
225,321,1381,67,275,44
226,364,7,2,347,15
227,51,10,0,51,0
228,282,524,38,247,34
229,369,14,1,362,7
230,138,16,6,133,4
231,96,9,1,93,1
232,186,11,0,184,1
233,487,15,0,461,14
234,282,19,4,257,20
235,383,8,1,367,13
236,216,0,1,211,5
237,48,0,0,45,2
238,885,462,26,659,220
239,185,11,1,175,10
240,259,1,1,251,7
241,299,9,0,291,8
242,199,9,1,186,13
243,717,40,1,680,30
244,155,2,0,150,5
245,293,8,0,282,11
246,243,6,0,237,5
247,264,2,0,256,2
248,313,3,0,297,7
249,208,1,0,201,7
250,216,0,0,209,6
251,247,6,0,234,9
252,152,1,0,146,5
253,387,3,0,368,16
254,178,9,0,170,6
255,218,4,0,212,5
256,270,3,0,256,10
257,351,4,1,344,6
258,232,0,2,224,8
259,252,3,0,244,4
260,122,0,0,114,8
261,209,4,0,199,9
262,305,5,1,295,10
263,71,10,2,70,1
264,290,12,0,275,13
265,67,6,3,66,0
266,783,11,0,752,30
267,77,2,0,76,1
268,22,0,0,22,0
269,103,0,0,100,2
270,32,0,2,32,0
271,239,5,2,229,8
272,111,6,0,110,1
273,51,0,1,51,0
274,34,4,0,34,0
275,15,0,0,15,0
276,75,0,5,75,0
277,177,2,0,173,2
278,520,8,0,505,13
279,134,2,0,132,2
280,228,1,1,220,7
281,498,254,17,408,77
282,166,5,2,159,7
283,272,265,20,228,44
284,127,7,1,125,2
285,30,0,0,29,0
286,33,1,1,33,0
287,252,5,0,239,9
288,287,0,0,286,0
289,264,8,3,257,5
290,152,5,1,148,3
291,61,5,0,57,3
292,172,7,7,163,6
293,616,523,21,459,125
294,188,0,0,184,4
295,593,309,23,484,99
296,189,2,0,182,5
297,178,5,0,175,3
298,318,7,0,313,4
299,362,9,0,352,7
300,48,6,0,48,0
301,248,1,0,244,3
302,520,2,0,509,11
303,97,8,2,94,3
304,400,16,0,392,6
305,218,0,0,212,6
306,77,13,4,77,0
307,204,4,0,198,3
308,405,6,0,399,6
309,210,0,0,204,6
310,214,1,0,208,5
311,374,4,0,360,7
312,457,3,0,444,10
313,215,0,0,205,8
314,7,5,0,7,0
315,38,6,3,38,0
316,168,1,0,168,0
317,277,0,0,274,2
318,196,1,0,190,6
319,100,3,0,99,1
320,85,4,0,79,4
321,34,10,6,34,0
322,41,9,0,39,1
323,23,5,1,22,1
324,217,24,5,206,10
325,161,9,2,158,3
326,279,0,0,276,3
327,97,9,3,95,2
328,489,3,0,480,6
329,245,4,0,242,3
330,270,5,0,268,2
331,166,11,1,165,1
332,121,18,3,110,11
333,33,9,1,33,0
334,72,1,0,72,0
335,174,0,0,173,1
336,192,0,0,186,3
337,286,61,5,250,30
338,231,0,0,230,0
339,138,1,0,135,2
340,104,6,1,102,2
341,91,10,4,90,0
342,682,22,0,657,12
343,1379,769,69,1131,234
344,629,16,1,610,16
345,58,4,3,58,0
346,272,9,0,268,2
347,213,2,2,207,6
348,225,2,0,220,5
349,463,48,2,450,8
350,285,7,0,276,8
351,526,18,0,512,12
352,418,4,0,406,9
353,515,10,0,505,9
354,377,5,0,365,10
355,1186,37,1,1161,19
356,591,560,49,498,84
357,424,8,1,411,13
358,119,16,0,105,0
359,67,9,0,66,1
360,439,10,3,424,15
361,1043,117,24,984,58
362,690,10,0,667,21
363,84,7,1,84,0
364,491,16,0,478,11
365,63,1,0,61,0
366,46,3,1,46,0
367,320,17,0,309,9
368,51,8,6,51,0
369,85,9,2,83,2
370,99,13,0,98,1
371,213,13,1,212,1
372,156,12,0,154,2
373,204,128,4,184,17
374,246,8,0,241,3
375,225,2,0,219,6
376,256,427,30,191,62
377,146,1,0,142,2
378,212,0,1,206,5
379,229,3,0,225,4
380,66,2,0,64,1
381,158,0,0,157,1
382,301,7,0,288,6
383,88,1,0,87,1
384,148,54,2,126,18
385,398,11,0,390,4
386,89,4,0,86,3
387,151,0,0,146,3
388,155,5,0,152,2
389,109,13,0,104,5
390,117,16,0,104,11
391,112,7,0,101,11
392,132,3,0,123,5
393,149,3,0,142,5
394,274,9,0,260,11
395,195,95,5,162,30
396,138,25,2,125,11
397,627,266,8,519,105
398,289,23,0,279,7
399,209,10,0,204,4
400,162,75,6,145,16
401,265,11,0,259,6
402,301,10,0,294,6
403,213,5,0,209,4
404,210,3,0,206,4
405,408,11,0,393,9
406,223,6,0,215,7
407,359,4,0,353,5
408,535,2,0,485,27
409,362,10,0,354,8
410,266,165,10,215,42
411,156,2,0,151,5
412,110,21,0,102,6
413,446,6148,120,352,80
414,102,1,0,102,0
415,161,6,0,158,3
416,279,8,0,273,6
417,288,6,0,281,5
418,230,8,0,221,8
419,271,12,0,262,6
420,113,2,1,107,3
421,256,103,16,205,47
422,306,4,0,301,3
423,566,10,0,548,4
424,186,1,1,184,0
425,135,9,2,118,10
426,174,195,3,146,18
427,171,84,4,159,10
428,373,8,0,365,5
429,403,5,0,392,8
430,139,14,0,138,1
431,148,16,5,146,1
432,270,8,0,265,4
433,343,8,0,334,7
434,254,5,0,252,2
435,304,9,6,298,5
436,437,6,0,433,4
437,412,4,2,399,13
438,183,11,0,175,6
439,353,8,2,342,9
440,144,14,1,142,2
441,905,10,5,876,21
442,151,19,2,129,18
443,276,4,0,264,8
444,227,3,4,218,8
445,340,1201,47,276,55
446,478,12,0,463,11
447,189,22,2,185,3
448,211,7,0,207,4
449,296,2,0,293,3
450,113,15,1,100,9
451,113,2,0,109,4
452,133,19,2,115,13
453,223,3,0,213,5
454,322,8,1,311,8
455,235,3,0,230,4
456,163,1,0,160,3
457,373,4,3,367,5
458,249,147,8,193,50
459,129,2,0,123,5
460,245,7,0,234,6
461,272,9,0,264,6
462,239,127,7,189,47
463,135,9,1,131,3
464,333,44,0,325,6
465,96,3,0,94,2
466,210,7,0,203,7
467,154,72,6,124,24
468,192,8,0,189,3
469,152,2,0,151,1
470,222,3,0,216,6
471,227,1,0,223,2
472,542,21,1,521,11
473,279,274,15,233,42
474,263,8,0,258,3
475,358,5498,94,294,57
476,65,4,1,65,0
477,190,11,1,182,5
478,320,4,1,309,10
479,266,8,0,254,9
480,452,19013,161,353,92
481,123,23,0,114,0
482,543,4661,178,397,136
483,278,8,0,267,9
484,445,432,27,315,124
485,196,7,8,190,2
486,607,383,52,446,159
487,180,4,0,166,12
488,236,8,0,228,8
489,93,2,1,90,3
490,48,6,0,47,1
491,245,169,37,205,33
492,225,12,29,222,2
493,133,4,2,128,5
494,170,11,2,159,11
495,304,13,0,294,9
496,150,5,0,148,1
497,387,8,0,375,9
498,564,20990,154,473,82
499,261,36,1,256,5
500,477,12,0,468,6
501,154,19,7,153,1
502,130,13,2,124,3
503,307,0,0,294,12
504,113,12,5,111,2
505,77,4,2,77,0
506,38,4,0,37,0
507,209,9,0,206,2
508,99,0,3,98,1
509,119,8,2,113,5
510,182,2,21,180,2
511,155,1,4,148,4
512,86,0,0,76,4
513,124,0,0,114,4
514,221,1,0,211,0
515,52,0,0,52,0
516,38,7,1,38,0
517,2,0,37,2,0
518,347,0,1,335,12
519,99,0,30,97,2
520,210,0,6,202,4
521,178,0,0,171,7
522,149,0,1,143,5
523,77,0,1,73,0
524,169,0,57,166,2
525,237,0,0,229,2
526,86,0,3,85,1
527,120,0,2,119,1
528,234,0,0,224,6
529,280,0,1,277,3
530,319,5,0,308,5
531,171,0,0,162,3
532,251,5,0,249,0
533,135,0,0,128,4
534,1,0,37,1,0
535,1,0,1,1,0
536,264,2,0,261,3
537,218,2,5,214,0
538,52,0,4,52,0
539,41,0,3,39,1
540,67,0,1,66,1
541,266,9,1,237,1
542,165,0,0,156,5
543,70,0,0,66,0
544,247,1,0,239,8
545,379,0,0,373,3
546,305,1,0,284,8
547,26,0,0,23,0
548,28,0,0,27,1
549,37,0,0,35,2
550,46,0,0,46,0
551,164,2,13,150,8
552,282,0,0,278,4
553,61,5,0,54,0
554,68,3,0,68,0
555,73,1,17,66,4
556,641,0,0,628,11
557,122,0,0,115,7
558,654,1,50,617,32
559,245,2,0,239,3
560,173,0,0,173,0
561,64,0,1,64,0
562,495,9,227,443,42
563,144,0,0,137,2
564,476,3,212,452,16
565,4,0,41,4,0
566,48,0,1,43,1
567,77,1,38,76,1
568,199,0,5,179,1
569,43,0,1,42,1
570,30,0,0,30,0
571,190,1,0,168,5
572,96,0,5,90,0
573,295,3,10,243,1
574,102,0,1,87,2
575,52,0,2,46,0
576,71,0,5,61,0
577,95,1,2,73,1
578,132,10,1,124,5
579,63,14,0,63,0
580,187,6,0,182,5
581,124,2,0,119,3
582,296,80,5,242,44
583,268,46,0,231,32
584,156,4,0,152,3
585,148,26,0,144,4
586,195,14,0,190,5
587,229,7,0,220,5
588,111,4,0,105,6
589,169,34,1,148,17
590,127,6,0,124,3
591,139,27,0,125,12
592,60,8,4,58,2
593,109,5,1,104,5
594,148,4,0,144,4
595,46,3,1,44,2
596,93,14,4,89,4
597,164,17,1,156,7
598,33,4,4,31,1
599,153,19,1,147,3
600,173,1,58,172,0
601,168,1,1,160,6
602,51,10,1,51,0
603,198,4,6,193,4
604,44,3,7,44,0
605,43,4,12,41,1
606,105,3,3,101,3
607,272,5,4,265,4
608,148,9,6,143,2
609,91,13,14,86,2
610,188,26,3,166,19
611,60,3,0,56,1
612,110,2,0,107,2
613,101,6,0,99,1
614,122,18,20,120,1
615,105,4,1,102,2
616,56,1,0,54,1
617,219,5,0,213,6
618,87,1,1,83,2
619,109,3,0,105,2
620,50,1,1,49,1
621,173,16,0,156,17
622,101,1,0,100,1
623,105,8,2,97,7
624,89,4,1,84,5
625,101,1,2,98,2
626,90,4,1,88,1
627,113,27,0,102,11
628,126,6,2,120,5
629,441,31,2,423,13
630,302,186,3,244,50
631,185,40,2,171,12
632,155,33,0,138,16
633,177,7,1,173,2
634,309,102,1,260,43
635,326,2,1,319,7
636,265,6,0,259,6
637,199,8,1,193,4
638,226,93,3,203,20
639,129,5,0,127,2
640,63,11,1,61,2
641,185,1,0,180,3
642,54,0,0,53,1
643,167,4,0,164,3
644,53,3,0,51,2
645,352,4,0,348,3
646,185,3,1,178,6
647,198,30,3,152,42
648,59,1,0,56,1
649,49,1,0,48,1
650,126,4,1,122,3
651,120,1,1,117,3
652,180,120,0,145,33
653,85,0,0,79,5
654,230,6,0,222,6
655,248,52,1,206,39
656,297,8,0,292,3
657,158,6,0,153,4
658,124,3,0,121,3
659,213,1,0,208,5
660,114,0,20,113,1
661,182,10,0,179,3
662,178,14,1,173,3
663,166,0,0,162,3
664,143,5,0,139,3
665,170,3,17,169,1
666,196,5,0,192,3
667,103,0,0,101,2
668,114,11,0,102,11
669,136,6,0,131,2
670,53,3,1,52,1
671,63,0,3,62,1
672,150,14,0,141,9
673,154,8,0,153,1
674,114,21,0,111,3
675,139,4,0,135,4
676,96,1,0,94,2
677,177,15,0,174,3
678,320,6,60,318,2
679,336,154,111,328,4
680,54,2,4,54,0
681,74,1,0,74,0
682,79,2,0,78,0
683,50,10,0,50,0
684,183,13,0,180,3
685,73,12,0,72,1
686,103,15,0,101,2
687,90,2,0,90,0
688,124,13,2,122,0
689,90,14,0,90,0
690,303,11,0,297,4
691,309,10,0,300,2
692,220,52,1,193,25
693,126,0,1,125,1
694,928,53,0,906,16
695,391,136,0,343,43
696,150,2,1,146,4
697,223,1,1,219,4
698,174,2,0,166,8
699,0,0,1,0,0
700,102,1,1,101,1
701,344,20,0,341,2
702,135,26,0,123,9
703,334,13,1,332,2
704,49,3,0,49,0
705,404,17,0,402,2
706,185,5,0,181,4
707,354,184,1,306,44
708,78,16,0,78,0
709,139,18,0,139,0
710,367,11,3,346,0
711,177,1,0,177,0
712,378,5,0,377,1
713,57,19,0,57,0
714,921,35,0,891,14
715,0,0,1,0,0
716,348,9,0,346,2
717,370,10,0,365,5
718,72,3,27,72,0
719,27,9,0,27,0
720,59,16,1,59,0
721,113,1,32,113,0
722,116,24,0,116,0
723,21,10,0,21,0
724,19,8,0,19,0
725,230,62,8,207,19
726,1542,18,1260,1520,12
727,48,14,0,48,0
728,69,15,2,68,1
729,96,18,1,96,0
730,235,1,0,232,3
731,130,4,0,128,0
732,111,19,2,110,1
733,89,20,1,87,2
734,20,11,0,20,0
735,74,15,0,74,0
736,63,18,2,61,2
737,83,24,3,83,0
738,62,11,0,61,1
739,141,24,2,140,0
740,140,1,0,138,1
741,124,21,1,119,2
742,107,16,1,106,1
743,139,16,0,139,0
744,264,27,3,264,0
745,48,4,4,48,0
746,360,131,5,292,60
747,64,11,0,64,0
748,173,11,0,170,2
749,165,15,1,165,0
750,79,18,0,78,1
751,130,19,2,128,2
752,534,0,0,526,5
753,237,33,0,230,6
754,432,5,0,429,3
755,92,2,0,92,0
756,128,3,0,124,4
757,316,3,0,309,4
758,68,16,3,68,0
759,193,3,0,189,0
760,75,3,0,74,0
761,131,0,0,131,0
762,74,10,0,74,0
763,67,11,0,67,0
764,35,2,0,35,0
765,217,1,0,215,2
766,398,3,0,395,3
767,99,14,1,99,0
768,138,1,0,136,1
769,134,0,1,133,0
770,267,9,0,263,0
771,87,17,0,81,6
772,409,6,0,404,4
773,263,5,0,260,3
774,210,2,0,209,1
775,104,14,0,103,1
776,158,48,0,152,5
777,286,2,0,285,1
778,179,1,0,177,2
779,190,1,0,187,2
780,163,1,0,161,1
781,424,7,0,421,3
782,181,3,0,180,1
783,139,2,0,138,0
784,775,18,0,762,5
785,368,2,0,364,1
786,105,12,0,103,1
787,218,2,0,217,1
788,89,9,0,88,1
789,326,10,0,325,1
790,106,3,0,104,0
791,125,5,0,122,3
792,123,16,0,118,4
793,70,21,1,70,0
794,58,0,0,58,0
795,61,16,0,60,0
796,66,14,1,65,1
797,81,14,1,80,0
798,39,5,1,39,0
799,167,0,0,165,1
800,78,13,0,78,0
801,140,13,0,137,1
802,243,4,0,243,0
803,199,3,0,197,0
804,354,15,0,349,4
805,171,78,3,167,4
806,55,4,0,54,1
807,136,44,1,131,3
808,51,8,0,51,0
809,103,25,0,103,0
810,619,15,0,615,4
811,231,30,5,227,1
812,86,14,1,85,1
813,63,9,0,63,0
814,165,89,1,162,2
815,200,18,1,197,1
816,180,15,1,178,1
817,214,152,0,210,4
818,157,124,1,157,0
819,44,1,0,44,0
820,208,6,0,208,0
821,145,2,0,145,0
822,177,134,0,176,1
823,250,11,0,246,4
824,97,29,0,97,0
825,112,45,0,109,3
826,170,108,0,168,2
827,148,7,0,147,0
828,360,10,0,356,4
829,280,9,0,279,0
830,111,45,0,110,1
831,188,242,6,187,1
832,121,43,0,121,0
833,43,4,1,43,0
834,111,15,0,108,2
835,111,4,0,110,1
836,119,31,2,119,0
837,358,10,3,354,0
838,187,25,0,186,1
839,180,84,4,171,8
840,227,173,1,223,2
841,146,19,0,146,0
842,105,10,0,105,0
843,131,39,1,130,1
844,325,13,1,322,3
845,113,2,1,113,0
846,102,13,1,102,0
847,441,10,0,431,3
848,260,6,0,260,0
849,31,14,0,31,0
850,70,10,2,68,0
851,147,1,0,147,0
852,177,145,3,176,0
853,112,18,0,112,0
854,117,18,1,116,1
855,118,6,0,118,0
856,118,3,0,118,0
857,162,10,0,161,0
858,318,2,0,312,3
859,59,14,0,58,1
860,54,0,0,52,1
861,238,41,3,234,3
862,350,389,6,342,7
863,111,11,0,111,0
864,207,4,0,203,3
865,140,23,0,138,0
866,103,8,0,103,0
867,323,407,8,307,12
868,487,93,13,472,9
869,180,16,0,180,0
870,156,0,0,155,1
871,118,13,0,117,1
872,227,18,0,223,2
873,26,2,0,26,0
874,120,0,0,119,0
875,59,6,5,59,0
876,90,13,1,90,0
877,22,2,1,22,0
878,73,5,0,72,0
879,183,15,0,182,1
880,67,14,0,66,0
881,45,1,0,45,0
882,110,3,0,110,0
883,120,4,0,117,1
884,87,1,4,83,2
885,139,4,0,138,0
886,104,0,3,102,1
887,60,1,0,59,0
888,214,6,0,211,3
889,160,1,0,158,2
890,322,8,0,320,2
891,348,3,2,345,2
892,292,10,1,285,5
893,51,0,0,51,0
894,251,20,4,248,2
895,67,5,0,66,1
896,43,8,0,42,1
897,58,10,0,58,0
898,37,1,0,37,0
899,40,2,4,39,1
900,56,9,1,56,0
901,59,3,0,58,0
902,147,2,17,144,2
903,231,5,1,220,7
904,71,6,2,71,0
905,48,1,0,45,2
906,261,4,0,248,6
907,225,0,20,222,3
908,148,16,0,140,3
909,68,3,3,63,3
910,543,22,0,501,29
911,74,9,6,74,0
912,249,10,1,249,0
913,629,7,0,625,2
914,57,9,3,57,0
915,279,18,2,279,0
916,68,13,1,68,0
917,106,19,0,106,0
918,73,19,2,73,0
919,68,14,0,68,0
920,12,5,0,12,0
921,10,4,0,10,0
922,35,0,0,35,0
923,40,1,0,40,0
924,44,9,4,44,0
925,6,0,0,6,0
926,80,4,0,80,0
927,83,8,0,83,0
928,66,2,1,66,0
929,421,3,0,421,0
930,246,5,1,246,0
931,151,0,0,151,0
932,304,6,0,304,0
933,263,19,2,263,0
934,216,16,2,216,0
935,42,9,0,42,0
936,289,11,0,289,0
937,330,8,0,330,0
938,320,2,0,320,0
939,355,9,0,355,0
940,242,4,0,242,0
941,471,13,0,471,0
942,320,7,0,320,0
943,486,2,0,486,0
944,353,6,0,353,0
945,469,10,0,469,0
946,271,37,1,271,0
947,228,3,0,228,0
948,495,11,0,495,0
949,381,5,0,381,0
950,480,10,0,480,0
951,140,6,0,140,0
952,443,11,0,443,0
953,182,1,16,182,0
954,121,0,1,121,0
955,49,9,0,49,0
956,227,0,0,227,0
957,230,6,0,230,0
958,192,26,2,192,0
959,417,11,0,417,0
960,552,8,0,552,0
961,111,12,0,111,0
962,130,19,1,130,0
963,100,11,0,100,0
964,50,11,0,50,0
965,385,16,191,385,0
966,108,16,2,108,0
967,368,12,0,368,0
968,307,18,0,307,0
969,176,4,1,176,0
970,246,13,1,246,0
971,152,30,0,152,0
972,286,5,0,286,0
973,108,8,0,108,0
974,25,8,0,25,0
975,21,2,0,21,0
976,318,7,1,318,0
977,370,16,1,370,0
978,58,3,0,58,0
979,45,0,0,45,0
980,69,0,0,69,0
981,135,2,0,135,0
982,212,11,3,212,0
983,184,3,1,184,0
984,103,0,0,103,0
985,302,9,0,302,0
986,246,9,2,246,0
987,117,0,0,117,0
988,52,12,0,52,0
989,317,8,0,317,0
990,189,13,1,189,0
991,192,19,0,192,0
992,96,8,0,96,0
993,112,11,0,112,0
994,124,12,0,124,0
995,155,5,0,155,0
996,167,16,0,167,0
997,157,13,0,157,0
998,101,7,0,101,0
999,230,20,0,230,0
1000,136,5,1,136,0
1001,131,0,0,131,0
1002,128,18,0,128,0
1003,129,13,0,129,0
1004,376,18,16,376,0
1005,68,9,1,68,0
1006,142,2,2,142,0
1007,106,12,2,106,0
1008,88,3,0,88,0
1009,49,9,0,49,0
1010,1052,12,7,1052,0
1011,948,7,0,948,0
1012,1552,23,0,1552,0
1013,1580,14,1,1580,0
1014,1241,6,0,1241,0
1015,1054,9,0,1054,0
1016,954,10,0,954,0
1017,1014,14,2,1014,0
1018,1768,0,1,1768,0
1019,951,13,1,951,0
1020,1223,34,0,1223,0
1021,987,13,1,987,0
1022,2799,67,2,2799,0
1023,102,1,0,102,0
1024,160,3,0,160,0
1025,1575,15,3,1575,0
1026,945,9,2,945,0
1027,1194,14,0,1194,0
1028,1339,9,1,1339,0
1029,963,6,0,963,0
1030,1145,25,0,1145,0
1031,950,8,3,950,0
1032,2024,23,1,2024,0
1033,950,13,0,950,0
1034,951,10,0,951,0
1035,974,10,0,974,0
1036,1139,57,0,1139,0
1037,1061,5,0,1061,0
1038,1018,10,0,1018,0
1039,991,10,1,991,0
1040,952,4,0,952,0
1041,1999,22,0,1999,0
1042,1251,17,1,1251,0
1043,968,9,0,968,0
1044,1338,6,1,1338,0
1045,948,5,0,948,0
1046,1,0,0,1,0
1047,1914,0,2,1914,0
1048,1377,5,0,1377,0
1049,1244,13,1,1244,0
1050,948,3,0,948,0
1051,1229,5,0,1229,0
1052,1363,12,0,1363,0
1053,956,6,0,956,0
1054,1080,28,0,1080,0
1055,994,9,0,994,0
1056,1419,7,0,1419,0
1057,954,6,1,954,0
1058,550,1,0,550,0
1059,549,6,0,549,0
1060,1143,154,64,1143,0
1061,1356,10,1,1356,0
1062,1774,2,0,1774,0
1063,1230,49,0,1230,0
1064,1451,14,4,1451,0
1065,1784,3,0,1784,0
1066,1983,8,1,1983,0
1067,2632,11,0,2632,0
1068,2166,8,0,2166,0
1069,1218,12,1,1218,0
1070,1724,129,105,1724,0
1071,2773,8,1,2773,0
1072,1259,211,78,1259,0
1073,1270,9,0,1270,0
1074,1921,8,0,1921,0
1075,1164,222,72,1164,0
1076,1029,11,1,1029,0
1077,1197,12,5,1197,0
1078,951,6,1,951,0
1079,121,14,11,121,0
1080,169,10,0,169,0
1081,2186,14,11,2186,0
1082,1910,7,0,1910,0
1083,1069,20,3,1069,0
1084,2177,18,0,2177,0
1085,1825,13,0,1825,0
1086,1880,1,0,1880,0
1087,1265,10,0,1265,0
1088,2297,260,72,2297,0
1089,1700,290,87,1700,0
1090,976,2,0,976,0
1091,1077,21,3,1077,0
1092,1346,330,72,1346,0
1093,1188,14,1,1188,0
1094,1081,15,2,1081,0
1095,1898,28,3,1898,0
1096,1916,15,19,1916,0
1097,1092,17,23,1092,0
1098,1566,31,2,1566,0
1099,992,7,0,992,0
1100,1172,199,62,1172,0
1101,1646,12,14,1646,0
1102,1966,23,2,1966,0
1103,2020,12,26,2020,0
1104,2055,29,2,2055,0
1105,1830,15,0,1830,0
1106,2244,11,0,2244,0
1107,1128,10,8,1128,0
1108,1842,286,106,1842,0
1109,2606,13,1,2606,0
1110,2153,44,10,2153,0
1111,2042,225,76,2042,0
1112,1125,363,122,1125,0
1113,2098,32,1,2098,0
1114,1956,17,1,1956,0
1115,2444,24,1,2444,0
1116,1803,10,0,1803,0
1117,1042,8,0,1042,0
1118,1231,27,1,1231,0
1119,2045,25,5,2045,0
1120,1915,74,103,1915,0
1121,1995,21,8,1995,0
1122,2183,56,14,2183,0
1123,1140,297,92,1140,0
1124,1805,15,0,1805,0
1125,1962,354,119,1962,0
1126,1933,8,0,1933,0
1127,2636,16,0,2636,0
1128,2264,284,78,2264,0
1129,2606,2,0,2606,0
1130,1618,13,0,1618,0
1131,2947,14,0,2947,0
1132,2062,206,64,2062,0
